iter	RMSE
0	4293.517911
1	4027.641543
2	3810.410635
3	3608.750996
4	3423.770005
5	3265.182258
6	3133.379413
7	3019.55479
8	2909.604356
9	2823.40307
10	2737.309231
11	2666.308047
12	2596.576661
13	2538.407562
14	2486.440778
15	2443.882641
16	2404.279573
17	2367.169812
18	2334.516899
19	2306.580203
20	2281.988111
21	2258.671842
22	2230.961433
23	2209.502836
24	2189.578489
25	2173.116874
26	2155.198637
27	2140.647445
28	2128.002835
29	2111.323725
30	2100.943727
31	2086.209488
32	2075.70988
33	2067.396552
34	2059.397431
35	2050.45316
36	2042.848106
37	2034.170426
38	2027.589203
39	2019.350014
40	2012.702712
41	2005.832072
42	2000.387771
43	1993.49082
44	1987.050629
45	1981.539072
46	1976.557676
47	1971.939393
48	1967.986354
49	1964.590844
50	1960.114419
51	1954.45679
52	1949.516021
53	1946.283056
54	1943.393635
55	1939.07346
56	1935.655436
57	1931.283975
58	1925.742932
59	1923.00407
60	1919.042417
61	1916.430659
62	1913.611269
63	1910.603267
64	1907.142379
65	1905.094016
66	1902.947398
67	1899.859965
68	1897.019773
69	1895.313334
70	1892.970038
71	1890.633915
72	1888.498787
73	1886.376454
74	1882.200272
75	1880.04984
76	1877.774032
77	1875.745447
78	1874.028601
79	1872.314947
80	1871.122293
81	1868.848159
82	1867.237375
83	1864.795069
84	1863.27283
85	1860.293195
86	1858.628665
87	1857.431075
88	1855.668637
89	1853.556521
90	1851.768858
91	1850.257847
92	1848.673045
93	1846.839984
94	1846.032799
95	1845.109005
96	1843.777791
97	1841.97771
98	1840.933575
99	1839.714269
