iter	Passed	Remaining
0	41	4137
1	85	4208
2	133	4309
3	177	4268
4	221	4200
5	265	4159
6	310	4123
7	356	4101
8	399	4036
9	440	3967
10	480	3888
11	526	3860
12	572	3829
13	615	3782
14	661	3750
15	702	3686
16	755	3688
17	804	3666
18	848	3616
19	889	3556
20	930	3500
21	973	3450
22	1019	3414
23	1062	3364
24	1105	3315
25	1152	3281
26	1197	3238
27	1240	3189
28	1280	3134
29	1325	3091
30	1363	3034
31	1406	2989
32	1454	2953
33	1492	2898
34	1529	2840
35	1571	2793
36	1611	2744
37	1649	2691
38	1692	2646
39	1745	2618
40	1792	2579
41	1830	2527
42	1869	2478
43	1910	2431
44	1964	2400
45	2002	2350
46	2038	2299
47	2077	2250
48	2116	2203
49	2160	2160
50	2201	2114
51	2238	2066
52	2281	2023
53	2324	1979
54	2360	1930
55	2402	1887
56	2440	1840
57	2485	1799
58	2530	1758
59	2571	1714
60	2611	1669
61	2648	1623
62	2686	1578
63	2737	1539
64	2785	1499
65	2820	1452
66	2867	1412
67	2906	1367
68	2946	1323
69	2983	1278
70	3027	1236
71	3082	1198
72	3121	1154
73	3167	1112
74	3211	1070
75	3250	1026
76	3288	982
77	3323	937
78	3373	896
79	3410	852
80	3444	808
81	3482	764
82	3521	721
83	3565	679
84	3608	636
85	3653	594
86	3696	552
87	3736	509
88	3781	467
89	3822	424
90	3875	383
91	3915	340
92	3956	297
93	3992	254
94	4032	212
95	4066	169
96	4104	126
97	4148	84
98	4185	42
99	4220	0
