,,,,PRODUCTO,,,,,,,,COSTO,,,,PRECIO,,,PROYECCION,,,,,,,VENTA REAL,,,,
CLAVE,STATUS,PROVEEDOR,FECHA PEDIDO,FECHA LLEGADA,PRODUCTO,MATERIAL,GENERO,COLOR,PRECIO,BOLSA,STICKER,STICKER PRECIO,TRANSPORTE,COSTO DE UNIDAD,PRECIO,PRECIO A VENTA,PRECIO FINAL,REINVERSION,LLAMPI,UTILIDADES,PAGO AL BANCO,TOTAL,DIA,LUGAR,PRECIO FINAL,REINVERSION.V,LLAMPI.V,UTILIDADES.V,PAGO AL BANCO.V,TOTAL.V
AN31,OK,NIHAUJEWELRY,29/11/2023,04/12/2023,ANILLO DE PALITO Y BRILLANTE,ACERO,MUJER,ORO,$16.78,$0.20,$0.08,$0.05,$1.00,$18.11,$90.55,100,80,$18.11,$40.96,$30.95,,,,,,$18.11,-$9.06,-$2.72,-$6.34,$0.00
NH4933257,PENDIENTE,NIHAUJEWELRY,17/02/2024,23/02/2024,ANILLO DE RESINA VERDE,RESINA,MUJER,VERDE,$6.39,$0.20,$0.08,$0.05,,$6.72,$33.60,60,50,$6.72,$26.66,,,,,,,$6.72,-$3.36,-$1.01,-$2.35,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
YZK711,OK,CENTRO,14/03/2024,14/03/2024,ANILLO SENCILLO,ACERO,HOMBRE,ORO,$2.50,$0.20,$0.08,$0.05,,$2.83,$14.15,50,,$2.83,$23.60,,,,,,,$2.83,-$1.42,-$0.42,-$0.99,$0.00
